study_id	study_depth_n	study_rank	window_start_rank	window_end_rank	window_size	n_window_peers	peer_min_support	weighted_support_threshold	selected_window_label	local_member_studies	final_universe_n	added_beyond_depth_n
speafico_2017	214	1	1	3	3	2	2	0.5	rolling_k3	speafico_2017;khoonsari_2019;shi_2021	364	150
khoonsari_2019	297	2	1	3	3	2	2	0.5	rolling_k3	speafico_2017;khoonsari_2019;shi_2021	338	41
shi_2021	634	3	2	4	3	2	2	0.5	rolling_k3	khoonsari_2019;shi_2021;bakochi_2021	616	0
bakochi_2021	806	4	3	5	3	2	2	0.5	rolling_k3	shi_2021;bakochi_2021;shultz_2022	882	76
shultz_2022	1023	5	4	6	3	2	2	0.5	rolling_k3	bakochi_2021;shultz_2022;vu_2023	1253	230
vu_2023	1112	6	5	7	3	2	2	0.5	rolling_k3	shultz_2022;vu_2023;bach_nielsen_2025	1278	166
bach_nielsen_2025	1124	7	6	8	3	2	2	0.5	rolling_k3	vu_2023;bach_nielsen_2025;mikolajewicz_2022	1253	129
mikolajewicz_2022	1300	8	7	9	3	2	2	0.5	rolling_k3	bach_nielsen_2025;mikolajewicz_2022;bruschi_2021	1410	110
bruschi_2021	1389	9	8	10	3	2	2	0.5	rolling_k3	mikolajewicz_2022;bruschi_2021;bader_2020	1509	120
bader_2020	1436	10	9	11	3	2	2	0.5	rolling_k3	bruschi_2021;bader_2020;aastha_2025	1601	165
aastha_2025	1451	11	10	12	3	2	2	0.5	rolling_k3	bader_2020;aastha_2025;karayel_2022	1736	285
karayel_2022	1724	12	11	13	3	2	2	0.5	rolling_k3	aastha_2025;karayel_2022;sogorb_esteve_2025	1818	94
sogorb_esteve_2025	1938	13	12	14	3	2	2	0.5	rolling_k3	karayel_2022;sogorb_esteve_2025;kim_2024	2071	133
kim_2024	1966	14	13	15	3	2	2	0.5	rolling_k3	sogorb_esteve_2025;kim_2024;oh_2023	2303	337
oh_2023	2103	15	14	16	3	2	2	0.5	rolling_k3	kim_2024;oh_2023;bader_2026	2422	319
bader_2026	2710	16	15	17	3	2	2	0.5	rolling_k3	oh_2023;bader_2026;spinelli_2024	2826	116
spinelli_2024	2938	17	16	18	3	2	2	0.5	rolling_k3	bader_2026;spinelli_2024;jian_2025	3459	521
jian_2025	3156	18	17	19	3	2	2	0.5	rolling_k3	spinelli_2024;jian_2025;kamalian_2025	3856	700
kamalian_2025	5100	19	18	20	3	2	2	0.5	rolling_k3	jian_2025;kamalian_2025;mikolajewicz_2026	5429	329
mikolajewicz_2026	9264	20	19	21	3	2	2	0.5	rolling_k3	kamalian_2025;mikolajewicz_2026;mansouri_2026	9417	153
mansouri_2026	10964	21	19	21	3	2	2	0.5	rolling_k3	kamalian_2025;mikolajewicz_2026;mansouri_2026	11010	46
