protein_id	core_class
A1BG	CC1
A2M	CC1
ADAMTS1	CC1
ADAMTS8	CC1
AFM	CC1
AGA	CC1
AGT	CC1
AHSG	CC1
ALB	CC1
AMBP	CC1
ANGPTL2	CC1
APCS	CC1
APOA1	CC1
APOA2	CC1
APOA4	CC1
APOC1	CC1
APOC2	CC1
APOC3	CC1
APOH	CC1
APOM	CC1
ASAH1	CC1
AZGP1	CC1
BGN	CC1
BMP1	CC1
C1QA	CC1
C1QB	CC1
C1QC	CC1
C1QTNF3	CC1
C1QTNF4	CC1
C1R	CC1
C1RL	CC1
C1S	CC1
C2	CC1
C3	CC1
C4BPA	CC1
C5	CC1
C6	CC1
C7	CC1
C8A	CC1
C8B	CC1
C8G	CC1
C9	CC1
CBLN1	CC1
CCK	CC1
CCL14	CC1
CD59	CC1
CD5L	CC1
CEMIP	CC1
CFB	CC1
CFD	CC1
CFH	CC1
CFHR1	CC1
CFI	CC1
CHGA	CC1
CHI3L1	CC1
CHI3L2	CC1
CHRD	CC1
CLEC11A	CC1
CLEC3B	CC1
COL6A2	CC1
CP	CC1
CPB2	CC1
CPE	CC1
CPN1	CC1
CPN2	CC1
CPQ	CC1
CPVL	CC1
CST3	CC1
CST6	CC1
CTSB	CC1
CTSC	CC1
CTSD	CC1
CTSF	CC1
CTSH	CC1
CTSL	CC1
CTSO	CC1
CTSS	CC1
CTSZ	CC1
CXCL12	CC1
DCD	CC1
DPP7	CC1
F12	CC1
F13B	CC1
F2	CC1
F5	CC1
F9	CC1
FCGBP	CC1
FETUB	CC1
FGA	CC1
FGB	CC1
FRZB	CC1
FSTL1	CC1
FSTL4	CC1
FUCA1	CC1
GC	CC1
GDF11	CC1
GGH	CC1
GM2A	CC1
GNPTG	CC1
GPLD1	CC1
GPX3	CC1
GSN	CC1
HABP2	CC1
HEXA	CC1
HP	CC1
HPR	CC1
HPX	CC1
HRG	CC1
HTRA1	CC1
ITIH1	CC1
ITIH2	CC1
ITIH3	CC1
ITIH4	CC1
ITIH5	CC1
JCHAIN	CC1
KLK11	CC1
KLK6	CC1
KLKB1	CC1
KNG1	CC1
LBP	CC1
LCAT	CC1
LGALS1	CC1
LGMN	CC1
LRG1	CC1
LTF	CC1
LYZ	CC1
MANBA	CC1
MASP1	CC1
MGP	CC1
MIF	CC1
MMP2	CC1
MYDGF	CC1
NPC2	CC1
NPTX1	CC1
NUCB1	CC1
OAF	CC1
OLFML3	CC1
ORM1	CC1
ORM2	CC1
P4HB	CC1
PAMR1	CC1
PAPLN	CC1
PCOLCE	CC1
PCSK2	CC1
PCSK9	CC1
PDGFA	CC1
PDIA3	CC1
PENK	CC1
PGLYRP2	CC1
PLG	CC1
PLOD1	CC1
PLTP	CC1
PON1	CC1
PPT1	CC1
PRELP	CC1
PROC	CC1
PROS1	CC1
PSAP	CC1
PTGDS	CC1
QPCT	CC1
RARRES2	CC1
RBP4	CC1
RNASET2	CC1
RTBDN	CC1
SAA1	CC1
SAA4	CC1
SCG5	CC1
SELENOP	CC1
SEMA3G	CC1
SERPINA1	CC1
SERPINA3	CC1
SERPINA4	CC1
SERPINA5	CC1
SERPINA6	CC1
SERPINA7	CC1
SERPINC1	CC1
SERPIND1	CC1
SERPINE2	CC1
SERPINF1	CC1
SERPINF2	CC1
SERPING1	CC1
SERPINI1	CC1
SHBG	CC1
SIAE	CC1
SOD3	CC1
SULF2	CC1
TIMP1	CC1
TIMP2	CC1
TPP1	CC1
TTR	CC1
ACHE	CC2
ADAM22	CC2
ADAMTS4	CC2
ANG	CC2
APOB	CC2
APOL1	CC2
ART3	CC2
ATP1A1	CC2
ATP1B1	CC2
ATP6AP1	CC2
ATP6AP2	CC2
ATRN	CC2
B3GALNT1	CC2
B3GNT2	CC2
B4GALNT1	CC2
B4GALT1	CC2
B4GAT1	CC2
BCHE	CC2
BPNT2	CC2
BTD	CC2
C16ORF89	CC2
C1QTNF5	CC2
C4A	CC2
C4B	CC2
CA1	CC2
CA11	CC2
CACNA2D1	CC2
CACNA2D2	CC2
CAMK2A	CC2
CANX	CC2
CD109	CC2
CD14	CC2
CD99L2	CC2
CGREF1	CC2
CHST10	CC2
CLN5	CC2
CLU	CC2
CNDP1	CC2
CNTN2	CC2
COL14A1	CC2
COLEC12	CC2
CPAMD8	CC2
CPXM2	CC2
CRTAC1	CC2
CSTB	CC2
CTBS	CC2
CUTA	CC2
DRAXIN	CC2
ECRG4	CC2
EFCAB14	CC2
ENDOD1	CC2
ENPP2	CC2
EPDR1	CC2
ERAP1	CC2
EXTL2	CC2
F10	CC2
F13A1	CC2
FABP3	CC2
FAM20C	CC2
FAM3C	CC2
FGG	CC2
FGL2	CC2
FUCA2	CC2
GAA	CC2
GALNT1	CC2
GALNT10	CC2
GALNT13	CC2
GALNT15	CC2
GALNT2	CC2
GALNT6	CC2
GALNT7	CC2
GANAB	CC2
GAP43	CC2
GASK1B	CC2
GFAP	CC2
GLG1	CC2
GNS	CC2
GOLIM4	CC2
GOLM1	CC2
GOT2	CC2
GPI	CC2
GRB2	CC2
GSR	CC2
GSTO1	CC2
HEG1	CC2
HEXB	CC2
HGFAC	CC2
HS6ST3	CC2
HSP90AA1	CC2
HSP90AB1	CC2
HSP90B1	CC2
HSPA13	CC2
HSPA5	CC2
HSPA8	CC2
HYOU1	CC2
IDS	CC2
IGHA1	CC2
IGHG1	CC2
IGHG2	CC2
IGHG3	CC2
IGHG4	CC2
IGHM	CC2
IGKC	CC2
IGLL5	CC2
IGLV1_47	CC2
ISLR	CC2
ITM2B	CC2
KIAA1549L	CC2
LFNG	CC2
LGALS3	CC2
LMAN1	CC2
LMAN2	CC2
MAN1A1	CC2
MAN1B1	CC2
MAN1C1	CC2
MAN2A1	CC2
MAN2A2	CC2
MGAT1	CC2
MGAT2	CC2
MGAT5	CC2
MINPP1	CC2
MLEC	CC2
MMP17	CC2
MMRN2	CC2
MSLN	CC2
MSN	CC2
NEU1	CC2
NPTX2	CC2
NPTXR	CC2
NUCB2	CC2
OLFM1	CC2
OMD	CC2
OXR1	CC2
PAM	CC2
PARK7	CC2
PCSK1N	CC2
PDIA4	CC2
PEBP4	CC2
PEPD	CC2
PGRMC1	CC2
PKM	CC2
PLA2G15	CC2
PLD3	CC2
PLXDC2	CC2
POMGNT1	CC2
PPIA	CC2
PPIB	CC2
PPIC	CC2
PRCP	CC2
PRKCSH	CC2
PTPRN2	CC2
QSOX1	CC2
QSOX2	CC2
RCN1	CC2
RCN2	CC2
RNASE1	CC2
RNASE4	CC2
RNASE6	CC2
S100A6	CC2
SCG2	CC2
SCG3	CC2
SCRG1	CC2
SDF4	CC2
SERPINB1	CC2
SERPINB6	CC2
SIL1	CC2
SLC38A10	CC2
SLC3A2	CC2
SLC5A5	CC2
SMPDL3B	CC2
SPINT2	CC2
ST8SIA3	CC2
TCN2	CC2
TF	CC2
TGFBI	CC2
TGOLN2	CC2
TNR	CC2
TXN	CC2
VAPA	CC2
VCL	CC2
VIM	CC2
WFIKKN2	CC2
XXYLT1	CC2
XYLT1	CC2
YME1L1	CC2
ADIPOQ	CC3
AEBP1	CC3
AGRN	CC3
APOD	CC3
APOE	CC3
B2M	CC3
BCAN	CC3
CALR	CC3
CARTPT	CC3
CHGB	CC3
COCH	CC3
COL12A1	CC3
COL15A1	CC3
COL18A1	CC3
COL1A1	CC3
COL1A2	CC3
COL3A1	CC3
COL4A2	CC3
COL6A1	CC3
COL6A3	CC3
COMP	CC3
CYTL1	CC3
DCN	CC3
DKK3	CC3
ECM1	CC3
ECM2	CC3
EFEMP1	CC3
EFEMP2	CC3
FBLN1	CC3
FBLN2	CC3
FBLN5	CC3
FBLN7	CC3
FBN1	CC3
FMOD	CC3
FN1	CC3
FSTL5	CC3
GAS6	CC3
HSPG2	CC3
IGF2	CC3
IGFALS	CC3
IGFBP2	CC3
IGFBP3	CC3
IGFBP4	CC3
IGFBP5	CC3
IGFBP6	CC3
IGFBP7	CC3
LAMA2	CC3
LAMA5	CC3
LAMB1	CC3
LAMB2	CC3
LAMC1	CC3
LAMC3	CC3
LGALS3BP	CC3
LTBP1	CC3
LTBP2	CC3
LTBP4	CC3
LUM	CC3
MATN2	CC3
METRN	CC3
METRNL	CC3
MFAP4	CC3
MFGE8	CC3
NCAN	CC3
NELL2	CC3
NENF	CC3
NID1	CC3
NID2	CC3
NPPC	CC3
OGN	CC3
PRG4	CC3
RELN	CC3
SLIT1	CC3
SMOC1	CC3
SPARC	CC3
SPARCL1	CC3
SPOCK1	CC3
SPOCK2	CC3
SPOCK3	CC3
SPON1	CC3
SPON2	CC3
SPP1	CC3
STC2	CC3
THBS1	CC3
THBS2	CC3
THBS4	CC3
TNC	CC3
TNXB	CC3
TWSG1	CC3
VCAN	CC3
VGF	CC3
VTN	CC3
VWF	CC3
ADAM10	CC4
ADAM11	CC4
ADGRB2	CC4
ADGRL1	CC4
ALCAM	CC4
ANPEP	CC4
APLP1	CC4
APLP2	CC4
APP	CC4
AXL	CC4
BCAM	CC4
CACHD1	CC4
CADM1	CC4
CADM2	CC4
CADM3	CC4
CADM4	CC4
CALY	CC4
CD163	CC4
CD200	CC4
CD248	CC4
CD44	CC4
CD9	CC4
CD99	CC4
CDH10	CC4
CDH11	CC4
CDH13	CC4
CDH15	CC4
CDH2	CC4
CDH20	CC4
CDH4	CC4
CDH5	CC4
CDH6	CC4
CDH8	CC4
CELSR2	CC4
CHL1	CC4
CLSTN1	CC4
CLSTN2	CC4
CLSTN3	CC4
CNTFR	CC4
CNTN1	CC4
CNTN3	CC4
CNTN4	CC4
CNTN6	CC4
CNTNAP3	CC4
CSF1	CC4
CSF1R	CC4
CSF2RA	CC4
CSPG4	CC4
CXCL16	CC4
DAG1	CC4
DCC	CC4
DDR1	CC4
DGCR2	CC4
DPP6	CC4
DSC2	CC4
DSG2	CC4
EFNB2	CC4
EGFR	CC4
EPHA4	CC4
EPHA7	CC4
ESAM	CC4
FAT2	CC4
