feature	feature_group	feature_type	clustering_encoding	varsel_type	n_non_missing	n_levels
signalpred_sp_score	secretory_trafficking	continuous	continuous	numeric	423	NA
JensenCompartment_Extracellular_score	secretory_trafficking	continuous	continuous	numeric	737	NA
JensenCompartment_Vesicle_score	secretory_trafficking	continuous	continuous	numeric	737	NA
deeploc_membrane_prob	subcellular_localization	continuous	continuous	numeric	423	NA
deeploc_cytoplasm_prob	subcellular_localization	continuous	continuous	numeric	423	NA
deeploc_extracellular_prob	subcellular_localization	continuous	continuous	numeric	423	NA
JensenCompartment_CytosolNucleus_score	subcellular_localization	continuous	continuous	numeric	737	NA
csf_plasma_ratio_meta_z	csf_enrichment_partitioning	continuous	continuous	numeric	394	NA
hpa_blood_composite_z	systemic_blood_background	continuous	continuous	numeric	694	NA
hpa_blood_max_pg_l	systemic_blood_background	continuous	continuous	numeric	694	NA
hpa_blood_ms_median_pg_l	systemic_blood_background	continuous	continuous	numeric	692	NA
albumin_csf_correlation	blood_csf_barrier_association	continuous	continuous	numeric	743	NA
hpa_cns_vs_non_cns_log2fc	tissue_enrichment_source	continuous	continuous	numeric	746	NA
hpa_cns_mean_ntpm	tissue_enrichment_source	continuous	continuous	numeric	746	NA
hpa_non_cns_mean_ntpm	tissue_enrichment_source	continuous	continuous	numeric	746	NA
hpa_liver_mean_ntpm	tissue_enrichment_source	continuous	continuous	numeric	746	NA
JensenTissue_ChoroidBarrier_score	tissue_enrichment_source	continuous	continuous	numeric	737	NA
JensenTissue_Immune_score	tissue_enrichment_source	continuous	continuous	numeric	737	NA
JensenTissue_Liver_score	tissue_enrichment_source	continuous	continuous	numeric	737	NA
JensenTissue_OriginBias_score	tissue_enrichment_source	continuous	continuous	numeric	737	NA
hpa_interaction_log1p_degree	network_context	continuous	continuous	numeric	252	NA
JensenCompartment_ECM_score	extracellular_matrix	continuous	continuous	numeric	737	NA
Consensus_StromalMesenchymal_score	cell_type_association	continuous	continuous	numeric	562	NA
OmniPath_RoleCount	intercellular_communication	continuous	continuous	numeric	747	NA
waury_signal_peptide	secretory_trafficking	continuous	binary	factor	737	2
waury_ectodomain_shedding	secretory_trafficking	continuous	binary	factor	737	2
waury_ev	secretory_trafficking	continuous	binary	factor	737	2
waury_extracellular	secretory_trafficking	continuous	binary	factor	737	2
sheddomedb_flag	secretory_trafficking	binary	binary	factor	747	2
waury_cell_membrane	subcellular_localization	continuous	binary	factor	737	2
waury_predhel_binary	subcellular_localization	continuous	binary	factor	737	2
deeploc_location	subcellular_localization	categorical	categorical	factor	423	5
hpa_subcell_main_location	subcellular_localization	categorical	categorical	factor	493	10
Matrisome_Core_flag	extracellular_matrix	binary	binary	factor	747	2
Matrisome_Associated_flag	extracellular_matrix	binary	binary	factor	747	2
Matrisome_ECM_Regulator_flag	extracellular_matrix	binary	binary	factor	747	2
OmniPath_ECM_flag	extracellular_matrix	binary	binary	factor	747	2
OmniPath_Ligand_flag	intercellular_communication	binary	binary	factor	747	2
OmniPath_Receptor_flag	intercellular_communication	binary	binary	factor	747	2
OmniPath_Adhesion_flag	intercellular_communication	binary	binary	factor	747	2
