study	n_samples	n_proteins	k_programs	fve_pca_k_insample	fve_pca_k_cv
Bader_2020	210	1245	14	0.579938788449952	0.495210788249132
Bader_2026_Astral	1965	2161	14	0.578327782658484	0.569344632640284
Bader_2026_TOF	7007	1384	14	0.671900851963295	0.669574543303019
Bakochi_2021	153	253	13	0.828130091722603	0.771082375243225
Bruschi_2021	42	702	14	0.82088401125929	0.572642979811012
deGeus_2025	221	525	13	0.64568699538823	0.579731711559886
Held_2025_validation	28	1625	14	0.755347204283159	0.174178932939012
Jian_2025	206	1539	14	0.29126373267617	0.155223252587348
Kamalian_2025	92	3550	14	0.687273214388489	0.557137527204188
Karayel_2022	215	1339	14	0.545590655710677	0.428257292736222
Khoonsari_2019	77	297	13	0.637123622425672	0.391768431594342
Mansouri_2026	160	8241	14	0.720011954327096	0.638825185802075
Mikolajewicz_2022	73	720	13	0.675672445482695	0.480782721896267
Mikolajewicz_2026	132	5763	14	0.699845271241117	0.584779200690458
Oh_2023	40	1907	14	0.739299828775553	0.368480666470943
Opsahl_2016	101	744	14	0.615784941148277	0.394273789377509
Rivierre-Cazaux_2025	121	5931	14	0.907561573742268	0.850855088643256
Schmid_2021	251	499	13	0.623285006262012	0.551017175422073
Schutzer_2023	30	1748	14	0.842869902556168	0.462425547256881
Shi_2021	15	424	13	0.977084990909847	0.224294220408357
Shultz_2022	110	701	13	0.765833333181884	0.659692650805149
Sogorb-Esteve_2025	238	1694	14	0.893080242365283	0.790187734986994
Speafico_2017	40	56	11	0.974435712448477	0.905467655129365
Spinelli_2024	72	791	14	0.811587551455377	0.666748802954445
Stoop_2017	92	438	13	0.65216275436705	0.479685626820777
Timirci-Kahraman_2019	27	626	13	0.827159289306802	0.325732118472674
Vu_2023	56	971	13	0.724914763713168	0.490811061392689
WahnKim_2024	35	952	14	0.746721628819145	0.322771019509997
Aastha_2025	125	956	14	0.614989794844578	0.455600773906987
Bach-Nielsen_2025	355	683	14	0.80131827093407	0.774196747653717
Beremann_2018	61	347	13	0.755129470326842	0.493474562110219
Bharucha_2023	165	2176	14	0.614986158812406	0.503542185348625
Held_2025_discovery	87	1998	14	0.453263898911051	0.225125033692438
Sathe_2019	10	2025	14	1	0.132940361129943
