mp_row	mp_col	pooled_rho
MP01	MP01	1
MP02	MP01	-0.57209548944861
MP03	MP01	0.115999582244964
MP04	MP01	0.230195324759314
MP05	MP01	-0.656023468444902
MP06	MP01	0.744872980760228
MP07	MP01	0.749549748835529
MP08	MP01	-0.601927094040586
MP09	MP01	-0.132420435431669
MP10	MP01	0.718277331721414
MP11	MP01	-0.521087846040775
MP12	MP01	0.495589380828454
MP13	MP01	-0.698244278254181
MP01	MP02	-0.57209548944861
MP02	MP02	1
MP03	MP02	-0.168387479494597
MP04	MP02	-0.478295389483354
MP05	MP02	0.62990429629039
MP06	MP02	-0.619042815782217
MP07	MP02	-0.671615014249139
MP08	MP02	0.843586156083773
MP09	MP02	0.0446602325651092
MP10	MP02	-0.355624219612516
MP11	MP02	0.336063941160402
MP12	MP02	-0.552238693893492
MP13	MP02	0.785632842328611
MP01	MP03	0.115999582244964
MP02	MP03	-0.168387479494597
MP03	MP03	1
MP04	MP03	-0.247474769147447
MP05	MP03	-0.304915718143704
MP06	MP03	-0.0149692359460088
MP07	MP03	-0.146849888852914
MP08	MP03	-0.327180954079075
MP09	MP03	0.242318854274249
MP10	MP03	0.33812405991439
MP11	MP03	-0.222118799838507
MP12	MP03	-0.148653781687177
MP13	MP03	-0.291572137686747
MP01	MP04	0.230195324759314
MP02	MP04	-0.478295389483354
MP03	MP04	-0.247474769147447
MP04	MP04	1
MP05	MP04	-0.444674722076861
MP06	MP04	0.388147357583402
MP07	MP04	0.496224837203874
MP08	MP04	-0.331468345114922
MP09	MP04	-0.280014721778378
MP10	MP04	0.00758552122744595
MP11	MP04	-0.291710306934846
MP12	MP04	0.599579479620023
MP13	MP04	-0.429968743668478
MP01	MP05	-0.656023468444902
MP02	MP05	0.62990429629039
MP03	MP05	-0.304915718143704
MP04	MP05	-0.444674722076861
MP05	MP05	1
MP06	MP05	-0.570987911953494
MP07	MP05	-0.579824283977013
MP08	MP05	0.592535224601763
MP09	MP05	0.290102090073727
MP10	MP05	-0.594830578396667
MP11	MP05	0.779100276361779
MP12	MP05	-0.496088427443918
MP13	MP05	0.756962166187051
MP01	MP06	0.744872980760228
MP02	MP06	-0.619042815782217
MP03	MP06	-0.0149692359460088
MP04	MP06	0.388147357583402
MP05	MP06	-0.570987911953494
MP06	MP06	1
MP07	MP06	0.737606137319007
MP08	MP06	-0.548124388765773
MP09	MP06	-0.158170914358599
MP10	MP06	0.465980673202915
MP11	MP06	-0.410703869369748
MP12	MP06	0.608719188228011
MP13	MP06	-0.649142988246025
MP01	MP07	0.749549748835529
MP02	MP07	-0.671615014249139
MP03	MP07	-0.146849888852914
MP04	MP07	0.496224837203874
MP05	MP07	-0.579824283977013
MP06	MP07	0.737606137319007
MP07	MP07	1
MP08	MP07	-0.550478700451703
MP09	MP07	-0.223219262537192
MP10	MP07	0.417603090223983
MP11	MP07	-0.410075078182348
MP12	MP07	0.712583398561182
MP13	MP07	-0.675781571071788
MP01	MP08	-0.601927094040586
MP02	MP08	0.843586156083773
MP03	MP08	-0.327180954079075
MP04	MP08	-0.331468345114922
MP05	MP08	0.592535224601763
MP06	MP08	-0.548124388765773
MP07	MP08	-0.550478700451703
MP08	MP08	1
MP09	MP08	-0.106083026411289
MP10	MP08	-0.426530829828314
MP11	MP08	0.294381628204034
MP12	MP08	-0.426734423387468
MP13	MP08	0.699302282424362
MP01	MP09	-0.132420435431669
MP02	MP09	0.0446602325651092
MP03	MP09	0.242318854274249
MP04	MP09	-0.280014721778378
MP05	MP09	0.290102090073727
MP06	MP09	-0.158170914358599
MP07	MP09	-0.223219262537192
MP08	MP09	-0.106083026411289
MP09	MP09	1
MP10	MP09	-0.232644327936017
MP11	MP09	0.55775396636725
MP12	MP09	-0.30967566850606
MP13	MP09	-0.0105582161497376
MP01	MP10	0.718277331721414
MP02	MP10	-0.355624219612516
MP03	MP10	0.33812405991439
MP04	MP10	0.00758552122744595
MP05	MP10	-0.594830578396667
MP06	MP10	0.465980673202915
MP07	MP10	0.417603090223983
MP08	MP10	-0.426530829828314
MP09	MP10	-0.232644327936017
MP10	MP10	1
MP11	MP10	-0.551147133686913
MP12	MP10	0.288124723152814
MP13	MP10	-0.501454068945456
MP01	MP11	-0.521087846040775
MP02	MP11	0.336063941160402
MP03	MP11	-0.222118799838507
MP04	MP11	-0.291710306934846
MP05	MP11	0.779100276361779
MP06	MP11	-0.410703869369748
MP07	MP11	-0.410075078182348
MP08	MP11	0.294381628204034
MP09	MP11	0.55775396636725
MP10	MP11	-0.551147133686913
MP11	MP11	1
MP12	MP11	-0.385604144703191
MP13	MP11	0.464653438116854
MP01	MP12	0.495589380828454
MP02	MP12	-0.552238693893492
MP03	MP12	-0.148653781687177
MP04	MP12	0.599579479620023
MP05	MP12	-0.496088427443918
MP06	MP12	0.608719188228011
MP07	MP12	0.712583398561182
MP08	MP12	-0.426734423387468
MP09	MP12	-0.30967566850606
MP10	MP12	0.288124723152814
MP11	MP12	-0.385604144703191
MP12	MP12	1
MP13	MP12	-0.524831646792553
MP01	MP13	-0.698244278254181
MP02	MP13	0.785632842328611
MP03	MP13	-0.291572137686747
MP04	MP13	-0.429968743668478
MP05	MP13	0.756962166187051
MP06	MP13	-0.649142988246025
MP07	MP13	-0.675781571071788
MP08	MP13	0.699302282424362
MP09	MP13	-0.0105582161497376
MP10	MP13	-0.501454068945456
MP11	MP13	0.464653438116854
MP12	MP13	-0.524831646792553
MP13	MP13	1
