PC	variance_explained	cumulative
PC1	0.555557802027216	0.555557802027216
PC2	0.136967360962652	0.692525162989868
PC3	0.106937596125183	0.799462759115052
PC4	0.0627077583063918	0.862170517421444
PC5	0.0293545037254243	0.891525021146868
PC6	0.0234064664821566	0.914931487629024
PC7	0.0204783834240639	0.935409871053088
PC8	0.0177342510529987	0.953144122106087
PC9	0.0130434148771846	0.966187536983272
PC10	0.0121177971953474	0.978305334178619
PC11	0.00870454331312651	0.987009877491745
PC12	0.00668292289534152	0.993692800387087
PC13	0.00630719961291313	1
