core_class	annotation_group	class_value	n_in_class_cluster	n_other_cluster	n_class_other_clusters	n_neither	odds_ratio_cc	or_ci_low_cc	or_ci_high_cc	p_value	fdr
CC1	compartment	cytosol	0	190	7	550	0.192650918635171	0.0109504396352727	3.38930469343215	0.200621253306102	0.240745503967323
CC1	compartment	extracellular_ecm	150	40	129	428	12.295962629296	8.25245220966774	18.3206994890468	1.45553882538916e-42	1.746646590467e-41
CC1	compartment	mixed	34	156	148	409	0.607900087133314	0.401942830447761	0.919390739038743	0.0186007501709387	0.025754884852069
CC1	compartment	surface_membrane	0	190	190	367	0.00506334346002025	0.000313806946076675	0.0816981501354839	2.54845157572763e-29	1.83488513452389e-28
CC1	compartment	unresolved	0	190	14	543	0.0983799438863246	0.00584021047175504	1.65723708176014	0.0265448326756129	0.0341290705829309
CC1	compartment	vesicle_endosome_exosome	6	184	69	488	0.247626289212532	0.108891449108687	0.563118404714817	0.000121002765696147	0.000217804978253065
CC2	compartment	cytosol	7	178	0	562	47.2689075630252	2.68623900747632	831.776180743114	5.23982250067427e-05	9.92808473811967e-05
CC2	compartment	extracellular_ecm	39	146	240	322	0.361554781350003	0.245024666067393	0.5335048997928	7.36469534729852e-08	2.03945409617498e-07
CC2	compartment	mixed	61	124	121	441	1.79498239873073	1.24536208552815	2.587168703138	0.00217071192378762	0.00339763605462411
CC2	compartment	surface_membrane	32	153	158	404	0.540336419404227	0.354788150459101	0.822923329758269	0.00341690010134586	0.0051253501520188
CC2	compartment	unresolved	14	171	0	562	95.1166180758018	5.64449263675069	1602.83157697342	2.22906707892023e-09	7.43843185564812e-09
CC2	compartment	vesicle_endosome_exosome	32	153	43	519	2.52854842936838	1.55089677986929	4.12249044723668	0.000349799528610226	0.000599656334760388
CC3	compartment	cytosol	0	92	7	648	0.467387387387387	0.0264728296194977	8.25189347072723	1	1
CC3	compartment	extracellular_ecm	89	3	190	465	62.485564304462	21.1948794625054	184.216463856478	1.25443868066325e-38	1.12899481259693e-37
CC3	compartment	mixed	2	90	180	475	0.0727720726649424	0.0204725533719494	0.258676798332723	1.17198739688437e-09	5.27394328597968e-09
CC3	compartment	surface_membrane	0	92	190	465	0.0132084840746258	0.00081579808231963	0.213856903234652	2.81985561161385e-13	1.69191336696831e-12
CC3	compartment	unresolved	0	92	14	641	0.239142590866729	0.0141455582852086	4.04290715243468	0.237766731841641	0.276116204719325
CC3	compartment	vesicle_endosome_exosome	1	91	74	581	0.127956870942898	0.0250373266898678	0.653942053171488	0.000647858493923923	0.00106013208096642
CC4	compartment	cytosol	0	193	7	547	0.188630490956072	0.0107224282021893	3.31841458365409	0.199769154064821	0.240745503967323
CC4	compartment	extracellular_ecm	1	192	278	276	0.00773624938795495	0.00153843653284156	0.0389028427985186	6.86637040021073e-46	1.23594667203793e-44
CC4	compartment	mixed	33	160	149	405	0.566134258535721	0.37314314320334	0.858941145042384	0.00633454627032446	0.00912174662926722
CC4	compartment	surface_membrane	158	35	32	522	71.7800650054171	43.1923399118883	119.289155037506	1.10713491427586e-92	3.9856856913931e-91
CC4	compartment	unresolved	0	193	14	540	0.0963200570257507	0.00571820449887054	1.62245918054808	0.0265265949736724	0.0341290705829309
CC4	compartment	vesicle_endosome_exosome	1	192	74	480	0.0502571254249107	0.00989634223457954	0.255223454899295	2.2728541781147e-09	7.43843185564812e-09
