from	to	shared_pathways	weight	from_cluster	to_cluster	within_cluster
MP01	MP07	52	0.403100775193798	1	1	TRUE
MP09	MP11	17	0.309090909090909	8	8	TRUE
MP02	MP11	17	0.288135593220339	2	8	FALSE
MP07	MP10	22	0.239130434782609	1	1	TRUE
MP01	MP10	25	0.235849056603774	1	1	TRUE
MP03	MP10	20	0.196078431372549	3	1	FALSE
MP03	MP09	21	0.190909090909091	3	8	FALSE
MP05	MP13	5	0.185185185185185	5	10	FALSE
MP02	MP13	10	0.178571428571429	2	10	FALSE
MP03	MP07	25	0.170068027210884	3	1	FALSE
MP01	MP03	27	0.166666666666667	1	3	FALSE
MP05	MP08	3	0.166666666666667	5	7	FALSE
MP04	MP12	37	0.156779661016949	4	9	FALSE
MP07	MP12	27	0.148351648351648	1	9	FALSE
MP06	MP10	9	0.142857142857143	6	1	FALSE
MP01	MP12	26	0.13	1	9	FALSE
MP04	MP07	25	0.123152709359606	4	1	FALSE
MP01	MP06	15	0.120967741935484	1	6	FALSE
MP06	MP07	13	0.119266055045872	6	1	FALSE
MP02	MP03	14	0.115702479338843	2	3	FALSE
MP03	MP06	13	0.111111111111111	3	6	FALSE
MP01	MP04	24	0.108597285067873	1	4	FALSE
MP08	MP13	3	0.107142857142857	7	10	FALSE
MP02	MP09	8	0.102564102564103	2	8	FALSE
MP03	MP12	20	0.101522842639594	3	9	FALSE
MP03	MP11	11	0.1	3	8	FALSE
MP02	MP10	6	0.0845070422535211	2	1	FALSE
MP02	MP05	4	0.0769230769230769	2	5	FALSE
MP09	MP10	5	0.0735294117647059	8	1	FALSE
MP10	MP12	10	0.0671140939597315	1	9	FALSE
MP04	MP10	10	0.0595238095238095	4	1	FALSE
MP02	MP07	7	0.0583333333333333	2	1	FALSE
MP06	MP12	9	0.0569620253164557	6	9	FALSE
MP03	MP04	12	0.0535714285714286	3	4	FALSE
MP01	MP09	7	0.0526315789473684	1	8	FALSE
MP07	MP09	6	0.0512820512820513	1	8	FALSE
MP01	MP02	7	0.0510948905109489	1	2	FALSE
MP02	MP04	9	0.0494505494505494	2	4	FALSE
MP09	MP12	7	0.0434782608695652	8	9	FALSE
MP02	MP12	7	0.0424242424242424	2	9	FALSE
MP05	MP09	2	0.04	5	8	FALSE
MP11	MP13	2	0.04	8	10	FALSE
MP04	MP06	7	0.0391061452513966	4	6	FALSE
MP06	MP09	3	0.0384615384615385	6	8	FALSE
MP03	MP13	4	0.0373831775700935	3	10	FALSE
MP04	MP11	6	0.0350877192982456	4	8	FALSE
MP09	MP13	2	0.0333333333333333	8	10	FALSE
MP04	MP09	6	0.0331491712707182	4	8	FALSE
MP11	MP12	4	0.025974025974026	8	9	FALSE
MP05	MP11	1	0.024390243902439	5	8	FALSE
MP05	MP10	1	0.0238095238095238	5	1	FALSE
MP05	MP12	3	0.0222222222222222	5	9	FALSE
MP03	MP05	2	0.0202020202020202	3	5	FALSE
MP07	MP13	2	0.0198019801980198	1	10	FALSE
MP04	MP05	3	0.0194805194805195	4	5	FALSE
MP10	MP13	1	0.0192307692307692	1	10	FALSE
MP01	MP05	2	0.0185185185185185	1	5	FALSE
MP01	MP11	2	0.015625	1	8	FALSE
MP04	MP13	2	0.0121212121212121	4	10	FALSE
MP05	MP07	1	0.0108695652173913	5	1	FALSE
MP07	MP11	1	0.00892857142857143	1	8	FALSE
MP01	MP13	1	0.00840336134453781	1	10	FALSE
MP12	MP13	1	0.00680272108843537	9	10	FALSE
